,Brand,no_of_rear_camera,rear_camera_1_pixels,rear_camera_2_pixels,rear_camera_3_pixels,rear_camera_4_pixels,rear_camera_5_pixels,no_of_front_camera,front_camera_1_pixels,front_camera_2_pixels,Release_year,Screen-size,operationg_system,Internal_storage(GB),WiFi,Bluetooth,Battery(mah),RAM,Touchscreen,Form-factor,Processor,GPS,Resolution,Accelerometer,Proximity_sensor,Ambient_light_sensor,Expandable_storage,Rear_flash,Proceesor_make,Height,Breadth,Width,Price_in_India,Weight,Compass/magnetometer,Headphones,Gyroscope,Expandable_storage_type,4G_or_3G,Simtype,GSM/CDMA,Expandable_storage(GB)
48,Realme,2,16.0,5.0,,,,1,25.0,,2019.0,6.3,Android,64.0,Yes,Yes,4045.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.8,74.2,8.3,18999.0,172.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
49,Realme,2,16.0,5.0,,,,1,25.0,,2019.0,6.3,Android,64.0,Yes,Yes,4045.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.8,74.2,8.3,14990.0,172.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
50,Poco,3,64.0,8.0,2.0,,,1,16.0,,2022.0,6.67,Android,256.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,165.19,76.1,8.12,16499.0,205.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,1024.0
51,Poco,3,64.0,8.0,2.0,,,1,16.0,,2022.0,6.67,Android,256.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,165.19,76.1,8.12,21999.0,205.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,1024.0
52,Poco,3,64.0,8.0,2.0,,,1,16.0,,2022.0,6.67,Android,256.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,165.19,76.1,8.12,19499.0,205.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,1024.0
53,Poco,3,64.0,8.0,2.0,,,1,16.0,,2022.0,6.67,Android,256.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,165.19,76.1,8.12,19499.0,205.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,1024.0
54,Poco,3,64.0,8.0,2.0,,,1,16.0,,2022.0,6.67,Android,256.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,165.19,76.1,8.12,17499.0,205.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,1024.0
55,Poco,3,64.0,8.0,2.0,,,1,16.0,,2022.0,6.67,Android,256.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,165.19,76.1,8.12,17499.0,205.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,1024.0
56,Realme,2,16.0,5.0,,,,1,25.0,,2019.0,6.3,Android,64.0,Yes,Yes,4045.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.8,74.2,8.3,14900.0,172.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
57,Realme,2,16.0,5.0,,,,1,25.0,,2019.0,6.3,Android,64.0,Yes,Yes,4045.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.8,74.2,8.3,12990.0,172.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
58,Realme,2,16.0,5.0,,,,1,25.0,,2019.0,6.3,Android,64.0,Yes,Yes,4045.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.8,74.2,8.3,12990.0,172.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
59,Realme,2,16.0,5.0,,,,1,25.0,,2019.0,6.3,Android,64.0,Yes,Yes,4045.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.8,74.2,8.3,11990.0,172.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
60,Poco,3,64.0,8.0,2.0,,,1,16.0,,2022.0,6.67,Android,256.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,165.19,76.1,8.12,17499.0,205.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,1024.0
61,Poco,3,64.0,8.0,2.0,,,1,16.0,,2022.0,6.67,Android,256.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,165.19,76.1,8.12,16499.0,205.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,1024.0
62,Poco,3,64.0,8.0,2.0,,,1,16.0,,2022.0,6.67,Android,256.0,Yes,Yes,5000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,165.19,76.1,8.12,16499.0,205.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,1024.0
63,Sony,3,12.0,12.0,12.0,,,1,8.0,,2020.0,6.5,Android,256.0,Yes,Yes,4000.0,8192.0,Yes,Touchscreen,octa-core,Yes,1644.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,165.1,71.12,7.68,,181.43,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,1000.0
64,Google,2,50.0,12.0,,,,1,8.0,,2021.0,6.4,Android,256.0,Yes,Yes,4614.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,No,Yes,Google,158.6,74.8,8.9,47000.0,207.0,Yes,Yes,Yes,,4G,Nano-SIM,GSM,
65,Google,2,50.0,12.0,,,,1,8.0,,2021.0,6.4,Android,256.0,Yes,Yes,4614.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,No,Yes,Google,158.6,74.8,8.9,45450.0,207.0,Yes,Yes,Yes,,4G,Nano-SIM,GSM,
66,Google,2,50.0,12.0,,,,1,8.0,,2021.0,6.4,Android,256.0,Yes,Yes,4614.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,No,Yes,Google,158.6,74.8,8.9,42999.0,207.0,Yes,Yes,Yes,,4G,Nano-SIM,GSM,
67,Google,2,50.0,12.0,,,,1,8.0,,2021.0,6.4,Android,256.0,Yes,Yes,4614.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,No,Yes,Google,158.6,74.8,8.9,38750.0,207.0,Yes,Yes,Yes,,4G,Nano-SIM,GSM,
68,Google,2,50.0,12.0,,,,1,8.0,,2021.0,6.4,Android,256.0,Yes,Yes,4614.0,8192.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,No,Yes,Google,158.6,74.8,8.9,36990.0,207.0,Yes,Yes,Yes,,4G,Nano-SIM,GSM,
69,Xiaomi,1,13.0,,,,,1,16.0,,2017.0,5.5,Android,16.0,Yes,Yes,3080.0,2048.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,153.0,76.2,7.7,7990.0,153.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
70,Xiaomi,1,13.0,,,,,1,16.0,,2017.0,5.5,Android,16.0,Yes,Yes,3080.0,2048.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,153.0,76.2,7.7,8968.0,153.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
71,Xiaomi,1,13.0,,,,,1,16.0,,2017.0,5.5,Android,16.0,Yes,Yes,3080.0,2048.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,153.0,76.2,7.7,10999.0,153.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
